,jc-141,jc-132,jc-133,jc-179b,jc-180,jc-161,jc-129,jc-160,jc-131,jc-159,jc-180b,jc-179,jc-166,jc-182,jc-137,pr-938,pr-922,pr-970,pr-945,pr-947,pr-927,pr-949,pm-918a,pm-918b,pm-956a,pm-956b,pr-931,pr-953,pr-961,pr-925,pr-946,pr-969,pr-932,pr-941,pr-935,pr-946b,pr-950,pr-942,pr-964,pr-955,pr-923,pr-958,pr-944,pr-960,pr-939,pr-916,pr-959,pr-939b,pr-917,pr-966,pm-852,pm-891,pm-881,pm-906,pm-880b,pm-897b,pm-858,pm-837,pm-830,pm-899,pm-898,pm-884a,pm-884b,pm-842,pm-838a,pm-838b,pm-868,pm-887,pm-880a,pm-897,pm-840a,pm-840b,pm-827,pm-843,pm-892,pm-913,pm-905,pm-850,pm-903,pm-902,pm-886,pm-867,pm-825,pm-3,pm-822,pm-858b,pm-847,pm-856,pm-829,pm-831,pm-853b,pm-850b,pm-820,pm-914,pm-860,pm-912,pm-851,pm-846,pm-896,pm-885,mg-503,mg-520,mg-536,mg-516,mg-504,mg-486,mg-502,mg-534,mg-515,mg-520b,mg-498a,mg-509,mg-537,mg-525,mg-535,mg-517,mg-496,mg-527,mg-493a,mg-530b,mg-531,mg-521,mg-489,mg-512,mg-487,mg-493b,mg-495a,mg-529,mg-526,mg-524,mg-498b,mg-495b,mg-538,mg-527b,mg-508,mg-499b,mg-500,mg-484,mg-499,mg-522,mg-507,mg-488,mg-519,mg-p8,mg-p9
1828,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1430,.,.,.,.,830,.,.,.,.,.,.,.,.,.,.,.,.,650,.,800,740,.,.,.,.,.,.,530,.,.,1250,980,.,840,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1700,.,1080,.,.,.,.,.,1580,.,.,.,.,.,.,.,.,2030,.,1460,.,.,.,.,980,.,.,.,.,.,.,.,.,.,1450,1450,.,2420,.,.,2270,.,.,.,.,1860,1290
1827,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1580,.,.,.,.,820,.,.,.,.,.,.,.,.,.,.,.,.,740,.,.,790,.,.,.,.,.,.,850,.,.,1310,1140,.,1150,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1670,.,930,.,.,.,.,.,2020,.,.,.,.,.,.,.,.,2410,.,1860,.,.,.,.,1340,.,.,.,.,.,.,.,.,.,1510,1740,.,3190,.,.,3020,.,.,.,.,2000,1220
1826,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2120,.,.,.,.,710,.,.,.,.,.,.,.,.,.,.,.,.,890,.,.,830,.,.,.,.,.,.,800,.,.,1530,1070,.,1140,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1710,.,1000,.,.,.,.,.,1800,.,.,.,.,.,.,.,.,2280,.,1880,.,.,.,.,1280,.,.,.,.,.,.,.,.,.,1410,1600,.,2370,.,.,2470,.,.,.,.,1660,1020
1825,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1780,.,.,.,.,640,.,.,.,.,.,.,.,.,.,.,.,.,980,.,.,860,.,.,.,.,.,.,820,.,.,1760,1080,.,1570,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1780,.,1330,.,.,.,.,.,2010,.,.,.,.,.,.,.,.,2510,.,1830,.,.,.,.,1330,.,.,.,.,.,.,.,.,.,1630,1370,.,2920,.,.,3330,.,.,.,.,2140,1660
1824,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1690,.,.,.,.,720,.,.,.,.,.,.,.,.,.,.,.,.,1180,.,.,.,.,.,.,.,.,.,830,.,.,1780,.,.,1220,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2050,.,1870,.,.,.,.,.,2310,.,.,.,.,.,.,.,.,3280,.,2170,.,.,.,.,1910,.,.,.,.,.,.,.,.,.,1580,1530,.,2740,.,.,2960,.,.,.,.,1910,380
1823,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1160,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1440,.,.,.,.,.,.,.,.,.,940,.,.,1880,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1910,.,1840,.,.,.,.,.,2130,.,.,.,.,.,.,.,.,3340,.,2080,.,.,.,.,1890,.,.,.,.,.,.,.,.,.,1730,1500,.,2950,.,.,3250,.,.,.,.,2310,.
1822,.,.,.,.,.,.,.,.,.,.,.,.,.,.,930,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1250,.,.,.,.,.,.,.,.,.,1150,.,.,1790,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2100,.,1780,.,.,.,.,.,1810,.,.,.,.,.,.,.,.,3250,.,1650,.,.,.,.,1580,.,.,.,.,.,.,.,.,.,1630,1530,.,1980,.,.,2310,.,.,.,.,1500,.
1821,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1280,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1570,.,.,.,.,.,.,.,.,.,790,.,.,1630,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1720,.,950,.,.,.,.,.,1760,.,.,.,.,.,.,.,.,2890,.,1210,.,.,.,.,970,.,.,.,.,.,.,.,.,.,1000,1020,.,1640,.,.,1820,.,.,.,.,1490,.
1820,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1300,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1180,.,.,.,.,.,.,.,.,.,520,.,.,1560,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1390,.,890,.,.,.,.,.,1930,.,.,.,.,.,.,.,.,2960,.,970,.,.,.,.,810,.,.,.,.,.,.,.,.,.,1130,1000,.,1480,.,.,1650,.,.,.,.,1170,.
1819,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1030,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1350,.,.,.,.,.,.,.,.,.,520,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,970,.,.,.,.,.,2320,.,.,.,.,.,.,.,.,3500,.,1300,.,.,.,.,1280,.,.,.,.,.,.,.,.,.,1450,1380,.,2190,.,.,2280,.,.,.,.,1700,.
1818,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1470,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,730,.,.,.,.,.,.,.,.,.,780,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1020,.,.,.,.,.,2420,.,.,.,.,.,.,.,.,3140,.,1490,.,.,.,.,1230,.,.,.,.,.,.,.,.,.,1840,1280,.,2160,.,.,2080,.,.,.,.,1570,.
1817,.,.,.,.,.,.,.,.,.,.,.,.,.,.,990,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,790,.,.,.,.,.,.,.,.,.,720,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,930,.,.,.,.,.,2280,.,.,.,.,.,.,.,.,2790,.,1100,.,.,.,.,1000,.,.,.,.,.,.,.,.,.,1350,1130,.,2020,.,.,2290,.,.,.,.,1510,.
1816,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1060,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,960,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1090,.,.,.,.,.,2320,.,.,.,.,.,.,.,.,2990,.,1500,.,.,.,.,920,.,.,.,.,.,.,.,.,.,1520,1560,.,2240,.,.,2390,.,.,.,.,1370,.
1815,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1070,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,970,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,770,.,.,.,.,.,2220,.,.,.,.,.,.,.,.,2980,.,.,.,.,.,.,900,.,.,.,.,.,.,.,.,.,1230,1390,.,2140,.,.,2150,.,.,.,.,1290,.
1814,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1180,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,780,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,890,.,.,.,.,.,1960,.,.,.,.,.,.,.,.,3020,.,.,.,.,.,.,970,.,.,.,.,.,.,.,.,.,1510,1830,.,2670,.,.,2560,.,.,.,.,1480,.
1813,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1170,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,630,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,860,.,.,.,.,.,1850,.,.,.,.,.,.,.,.,2710,.,.,.,.,.,.,970,.,.,.,.,.,.,.,.,.,1180,1350,.,2490,.,.,2680,.,.,.,.,1570,.
1812,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1470,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,680,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,900,.,.,.,.,.,1880,.,.,.,.,.,.,.,.,2880,.,.,.,.,.,.,1150,.,.,.,.,.,.,.,.,.,1220,1480,.,3100,.,.,3420,.,.,.,.,1500,.
1811,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1110,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,480,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1090,.,.,.,.,.,1470,.,.,.,.,.,.,.,.,2950,.,.,.,.,.,.,1140,.,.,.,.,.,.,.,.,.,1010,1880,.,3480,.,.,3510,.,.,.,.,1680,.
1810,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1030,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,540,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,930,.,.,.,.,.,1320,.,.,.,.,.,.,.,.,2950,.,.,.,.,.,.,1300,.,.,.,.,.,.,.,.,.,920,1570,.,3410,.,.,3360,.,.,.,.,1590,.
1809,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1300,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,550,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,960,.,.,.,.,.,930,.,.,.,.,.,.,.,.,2320,.,.,.,.,.,.,1160,.,.,.,.,.,.,.,.,.,1040,1620,.,3030,.,.,2940,.,.,.,.,1560,.
1808,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1490,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,660,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,940,.,.,.,.,.,1040,.,.,.,.,.,.,.,.,2810,.,.,.,.,.,.,1130,.,.,.,.,.,.,.,.,.,1460,1600,.,2780,.,.,2740,.,.,.,.,1750,.
1807,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1380,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,460,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1160,.,.,.,.,.,890,.,.,.,.,.,.,.,.,2840,.,.,.,.,.,.,1010,.,.,.,.,.,.,.,.,.,1010,1410,.,2670,.,.,2910,.,.,.,.,1580,.
1806,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1090,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,920,.,.,.,.,.,970,.,.,.,.,.,.,.,.,2390,.,.,.,.,.,.,980,.,.,.,.,.,.,.,.,.,920,1210,.,2440,.,.,2340,.,.,.,.,1160,.
1805,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2160,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,950,.,.,.,.,.,900,.,.,.,.,.,.,.,.,2540,.,.,.,.,.,.,1130,.,.,.,.,.,.,.,.,.,1800,1540,.,2580,.,.,2980,.,.,.,.,1690,.
1804,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1790,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1210,.,.,.,.,.,890,.,.,.,.,.,.,.,.,2520,.,.,.,.,.,.,1190,.,.,.,.,.,.,.,.,.,1440,1460,.,2200,.,.,2290,.,.,.,.,1590,.
1803,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1620,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1270,.,.,.,.,.,940,.,.,.,.,.,.,.,.,2350,.,.,.,.,.,.,1060,.,.,.,.,.,.,.,.,.,1120,1300,.,2990,.,.,3270,.,.,.,.,2340,.
1802,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1590,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,910,.,.,.,.,.,1090,.,.,.,.,.,.,.,.,2800,.,.,.,.,.,.,910,.,.,.,.,.,.,.,.,.,1060,1040,.,2910,.,.,3250,.,.,.,.,1530,.
1801,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1780,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,620,.,.,.,.,.,1030,.,.,.,.,.,.,.,.,2160,.,.,.,.,.,.,640,.,.,.,.,.,.,.,.,.,1080,690,.,2850,.,.,3080,.,.,.,.,1630,.
1800,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1780,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,670,.,.,.,.,.,1370,.,.,.,.,.,.,.,.,2750,.,.,.,.,.,.,840,.,.,.,.,.,.,.,.,.,1540,500,.,4060,.,.,4160,.,.,.,.,2060,.
1799,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1650,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,520,.,.,.,.,.,1140,.,.,.,.,.,.,.,.,2390,.,.,.,.,.,.,730,.,.,.,.,.,.,.,.,.,1320,670,.,3130,.,.,3090,.,.,.,.,1450,.
1798,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2000,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,600,.,.,.,.,.,1490,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,780,.,.,.,.,.,.,.,.,.,1200,500,.,2020,.,.,2040,.,.,.,.,1420,.
1797,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1650,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,410,.,.,.,.,.,1160,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,880,.,.,.,.,.,.,.,.,.,1110,580,.,2080,.,.,1950,.,.,.,.,1120,.
1796,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1600,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,140,.,.,.,.,.,1080,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1050,.,.,.,.,.,.,.,.,.,790,450,.,1310,.,.,1290,.,.,.,.,1100,.
1795,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1390,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,250,.,.,.,.,.,1210,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,730,.,.,.,.,.,.,.,.,.,790,470,.,2250,.,.,2210,.,.,.,.,1380,.
1794,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1570,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,220,.,.,.,.,.,1300,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,760,.,.,.,.,.,.,.,.,.,1100,840,.,2500,.,.,2680,.,.,.,.,1760,.
1793,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2060,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,210,.,.,.,.,.,2410,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1090,.,.,.,.,.,.,.,.,.,1510,980,.,3450,.,.,3440,.,.,.,.,1540,.
1792,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1640,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,380,.,.,.,.,.,1840,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,960,.,.,.,.,.,.,.,.,.,990,780,.,2890,.,.,3050,.,.,.,.,1590,.
1791,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1430,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,200,.,.,.,.,.,1820,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,990,.,.,.,.,.,.,.,.,.,1200,730,.,3380,.,.,2980,.,.,.,.,1580,.
1790,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1140,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,460,.,.,.,.,.,2420,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1280,.,.,.,.,.,.,.,.,.,1610,990,.,3310,.,.,3570,.,.,.,.,1620,.
1789,.,.,.,.,.,.,.,.,.,.,.,.,.,.,700,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,410,.,.,.,.,.,1600,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1280,760,.,2800,.,.,3130,.,.,.,.,1470,.
1788,.,.,.,.,.,.,.,.,.,.,.,.,.,.,850,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,640,.,.,.,.,.,1720,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1390,700,.,3070,.,.,3370,.,.,.,.,1350,.
1787,.,.,.,.,.,.,.,.,.,.,.,.,.,.,610,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,590,.,.,.,.,.,1460,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1360,570,.,2690,.,.,2620,.,.,.,.,1360,.
1786,.,.,.,.,.,.,.,.,.,.,.,.,.,.,470,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,740,.,.,.,.,.,1340,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1490,580,.,3160,.,.,2840,.,.,.,.,1180,.
